lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 838| 6| 3000860|     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        | A A|    3 |     |   |  |
    |  3 | 838| 7| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |18022928| A A|    2 |     |   |  |
    |  3 | 838| 8| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18026992| A A|    1 |     |   |  |
    |  3 | 838| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18042096| A A|    0 |     |   |  |
    |  3 | 839| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18046152| A A|    7 |     |   |  |
    |  3 | 839| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18050216| A A|    6 |     |   |  |
  2 |  * | 839| 2|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 839| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18065320| A A|    5 |     |   |  |
    |  3 | 839| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18069376| A A|    4 |     |   |  |
    |  3 | 839| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18073440| A A|    3 |     |   |  |
    |  3 | 839| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18088544| A A|   63 |  15 | 15| 2|
  2 |  * | 839| 6|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 839| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18092608| A A|    1 |     |   |  |
    |  3 | 839| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18107712| A A|    0 |     |   |  |
    |  3 | 839| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18148488| A A|    7 |     |   |  |
