lost,cell, sfn,sf, bbUeRef, rnti, mode,modul,mcs1,mcs2, prb,ndf1,ndf2,   tbs1,   tbs2, assBits,harq,cqi,ri,pucchPwr,puschPwr, sinr,dtx,modulation,mcs,prb,bler,    tbs,sr,    bsr,harq, 
    ,  3 , 840, 9, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,        ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17934552,    ,   ,  ,        ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,        ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.2 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 7, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.2 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,        ,     ,   ,    16QAM ,   , 2 ,    ,  1000 ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17960720,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.0 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 840, 8, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
