lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 838| 6| 3000860|     | -114.4 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 838| 7| 3000860|13487| -113.9 |        |    |        |   9 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 838| 8| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 838| 9| 3000860|13487| -114.6 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
    |  3 | 839| 0| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 1| 3000860|13487| -114.0 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 839| 2|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 2| 3000860|13487| -115.5 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 3| 3000860|13487| -114.9 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 4| 3000860|13487| -114.9 |        |    |        |   6 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 5| 3000860|13487|        |  -96.6 |    |        |  24 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    3 |
  2 |  * | 839| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 6| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 7| 3000860|13487| -114.2 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 8| 3000860|13487| -114.4 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 839| 9|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 839| 9| 3000860|13487| -113.8 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
    |  3 | 840| 0| 3000860|13487| -114.0 |        |    |        |   9 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 1| 3000860|13487| -114.4 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 840| 2|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 2| 3000860|13487| -114.8 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 3| 3000860|13487| -114.4 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 4| 3000860|13487| -114.0 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 5| 3000860|13487|        |  -96.7 |    |        |  25 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    5 |
  2 |  * | 840| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 6| 3000860|13487| -114.8 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |SR|       |   |                  |                  |    |      |
    |  3 | 840| 7| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 8| 3000860|13487| -114.0 |        |    |        |   8 |   |          | 23| 2 |  46 |     |   |    |  1000 |  |       |   |                  |                  |    |      |
  2 |  * | 840| 9|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 840| 9| 3000860|13487| -114.4 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
    |  3 | 841| 0| 3000860|13487| -115.1 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 841| 1| 3000860|13487| -114.3 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 841| 2|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 841| 2| 3000860|13487| -115.1 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 841| 3| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 841| 4| 3000860|13487|        |  -96.6 |    |        |  25 | N |    16QAM |   | 2 |  46 |  47 | Y |    |  1000 |  |     0 |   |                  |                  | ACK|    6 |
